,Цена квартиры,Тип квартиры,Станция метро,Минут до метро,Регион,Кол-во комнат,Площадь,Жилая площадь,Площадь кухни,Этаж,Ремонт
9415,12500000.0,Вторичноё жильё,Люблино,10.0,Москва,3.0,57.0,35.0,6.0,1.0,Косметический
9414,50000000.0,Вторичноё жильё,Профсоюзная,13.0,Москва,3.0,153.0,62.0,22.8,4.0,Без ремонта
9413,100000000.0,Вторичноё жильё,Щукинская,13.0,Москва,3.0,170.0,120.0,15.0,16.0,Дизайнерский
9412,116000000.0,Вторичноё жильё,Маяковская,3.0,Москва,3.0,148.0,95.0,27.0,5.0,Европейский стиль
9411,15200000.0,Вторичноё жильё,Бибирево,9.0,Москва,3.0,63.4,45.2,6.6,6.0,Европейский стиль
9410,22500000.0,Вторичноё жильё,Щелковская,14.0,Москва,3.0,80.0,51.8,13.3,4.0,Европейский стиль
9409,16990000.0,Вторичноё жильё,Рабочий Посёлок,7.0,Москва,3.0,71.0,48.0,7.5,5.0,Без ремонта
9440,14990000.0,Вторичноё жильё,Улица Горчакова,5.0,Москва,3.0,71.3,42.0,8.0,5.0,Европейский стиль
9439,12950000.0,Вторичноё жильё,Кантемировская,6.0,Москва,3.0,55.3,41.5,6.0,6.0,Косметический
9438,26500000.0,Вторичноё жильё,Селигерская,13.0,Москва,3.0,70.5,46.8,5.5,10.0,Европейский стиль
9437,52000000.0,Вторичноё жильё,Мичуринский проспект,12.0,Москва,3.0,82.0,45.0,25.0,19.0,Дизайнерский
9436,21500000.0,Вторичноё жильё,Кантемировская,8.0,Москва,3.0,74.0,48.0,11.0,12.0,Дизайнерский
9472,25500000.0,Вторичноё жильё,Тропарево,23.0,Москва,3.0,94.0,60.0,17.0,1.0,Косметический
9471,49000000.0,Вторичноё жильё,Ростокино,12.0,Москва,3.0,98.0,61.0,12.0,5.0,Дизайнерский
18612,7089257.0,Новостройка,Жулебино,14.0,Московская область,3.0,55.75,37.4,5.4,14.0,Косметический
18639,11860000.0,Новостройка,Битца,12.0,Московская область,3.0,81.6,43.4,13.4,6.0,Косметический
9433,40490000.0,Вторичноё жильё,Тушинская,18.0,Москва,3.0,108.0,52.5,18.0,13.0,Европейский стиль
9432,38999999.0,Вторичноё жильё,Автозаводская,20.0,Москва,3.0,102.8,54.1,16.7,2.0,Без ремонта
9431,17990000.0,Вторичноё жильё,Лефортово,13.0,Москва,3.0,65.0,45.0,10.0,14.0,Косметический
9430,38000000.0,Вторичноё жильё,Киевская,11.0,Москва,3.0,78.2,59.8,7.4,2.0,Европейский стиль
9429,35000000.0,Вторичноё жильё,Аминьевская,5.0,Москва,3.0,71.4,38.2,12.0,29.0,Без ремонта
9428,27999000.0,Вторичноё жильё,Технопарк,10.0,Москва,3.0,70.0,34.8,14.0,13.0,Без ремонта
9427,31700000.0,Вторичноё жильё,Аминьевская,13.0,Москва,3.0,73.0,44.2,7.6,8.0,Без ремонта
9426,37900000.0,Вторичноё жильё,Народное Ополчение,12.0,Москва,3.0,92.5,40.8,16.9,20.0,Без ремонта
9425,41700000.0,Вторичноё жильё,Марьина Роща,5.0,Москва,3.0,85.6,43.0,21.3,12.0,Без ремонта
9456,73500000.0,Вторичноё жильё,Динамо,8.0,Москва,3.0,106.0,55.0,35.0,6.0,Дизайнерский
